Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,0.186795,0.668005,0.693630,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,1.048623,1.097807,1.518153,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,0.406643,0.306538,0.509239,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,1.577603,-0.164098,1.586114,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,0.608005,0.783932,0.992078,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.292963,-0.799304,1.520079,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.129768,-0.187311,1.145190,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,0.256206,-0.176517,0.311127,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.491810,0.098258,0.501529,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-0.385394,0.181456,0.425975,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-0.152844,-0.085321,0.175046,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-0.050086,1.184149,1.185208,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,0.454371,-2.027023,2.077324,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,0.701051,-0.123642,0.711871,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-0.309737,0.939499,0.989239,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-1.062930,0.556246,1.199679,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-0.093961,0.161494,0.186839,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-1.862486,-0.707936,1.992493,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,2.164526,0.174168,2.171521,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-1.239095,-0.184047,1.252689,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-0.742655,-0.922970,1.184656,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,0.763841,-0.228744,0.797356,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-0.317416,0.304774,0.440046,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,1.676789,-0.300975,1.703587,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,1.200877,0.141763,1.209216,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-0.729835,0.864348,1.131263,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,0.485029,0.009509,0.485122,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-1.032790,-1.196123,1.580305,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,-0.050340,-0.974768,0.976067,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-0.375935,-1.473149,1.520360,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-0.068669,-0.138003,0.154144,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,0.630255,-0.648124,0.904039,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-0.330406,0.775634,0.843075,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,1.181814,0.586401,1.319299,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,0.724495,0.374999,0.815793,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-0.403047,1.025082,1.101472,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-1.250057,-0.955513,1.573420,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-0.194797,0.954367,0.974045,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-0.732973,0.669157,0.992482,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.251693,-0.033558,0.253920,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-0.277004,-0.803801,0.850192,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.652588,-0.075310,0.656919,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.698120,-0.043363,0.699466,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,0.303777,-0.287573,0.418305,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.137858,-0.029414,0.140961,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-0.587676,0.155977,0.608023,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-0.174309,0.550123,0.577078,Non-sub-pixel,Default,White, 
